文旅,#genre#
EZTV6,http://vvlive.eztv.vip:80/ctvsnew/ctvsnew.m3u8?auth_key=1710810919-0-0-50aa348ab0ba1386377aafc10877062f
Chillayo,http://49.0.64.96:8007/Chillayo
CLASSICA,P2p://generationnexxxt.com:19806/2671749a00774d36bd1afb569bd1edeb
Mezzo,P2p://generationnexxxt.com:19806/c87ec7818611487095699a6f5d65e9c4
EYETV,P2p://generationnexxxt.com:19806/5b302f252b45400888768bf7dce6cf94
南国都市,https://tencentplay.gztv.com:443/live/nanguodushi.m3u8?txSecret=c73a516649468b393fa2ff36abaf5911&txTime=18e3af851af
南国都市,http://php.jdshipin.com:8880/gztv.php?id=shenghuo
上海外语,http://[2409:8087:5e08:24::12]:6610/000000001000/2000000002000000001/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000002000000001&IASHttpSessionId=OTT19019320240419154124000281&yang-1989
书画,http://117.114.153.1:8180/TV00000000000000000133@HHZT
科教旅游,https://pull.gltvs.com/live/glkj/playlist.m3u8?v=4282cdc9071e32fd382778e37d8bf172&t=2024816762
文旅记录,http://live.nbs.cn/channels/njtv/ylpd/500k.m3u8
文旅记录,http://live.nbs.cn/channels/njtv/ylpd/m3u8:500k/live.m3u8

資訊
凤凰中文高清,http://lede.medahl.com:10098/udp/239.76.253.134:9000
凤凰资讯高清,http://lede.medahl.com:10098/udp/239.76.253.135:9000
影視
阿斗归来,http://cfss.cc:80/cdn/hy/13303478.flv
译制片,http://159.75.85.63:35455/douyu/2436390
重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
欢笑剧场,http://[2409:8087:5e08:24::12]:6610/000000001000/2000000002000000016/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000002000000016&IASHttpSessionId=OTT19019320240419154124000281&yang-1989



