文旅,#genre#
EZTV6,http://vvlive.eztv.vip:80/ctvsnew/ctvsnew.m3u8?auth_key=1710810919-0-0-50aa348ab0ba1386377aafc10877062f
南国都市,https://tencentplay.gztv.com:443/live/nanguodushi.m3u8?txSecret=c73a516649468b393fa2ff36abaf5911&txTime=18e3af851af
南国都市,http://php.jdshipin.com:8880/gztv.php?id=shenghuo
文化精品,http://171.223.199.12:8123/rtp/239.93.42.47:5140?
文化精品,http://59.42.181.86:8848/rtp/239.253.43.27:5146?
文化精品,http://59.42.181.86:8848/rtp/239.253.43.13:5146?
世界地理,http://171.223.199.12:8123/rtp/239.93.1.157:5140?
世界地理,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN638077a61f4f3/1.m3u8?m3u8_level=2
世界地理,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN638077a61f4f3/index.m3u8?AuthInfo=toEYVdLfxymUP2l9NZpQIxzzxEhTjOtZryLHMXreoGJ1P%2BMWIbO7dcr69BOnWr6VtCf%2FZIGsCvoR9H9LBuL%2Bb%2BgUMie3w0VElI8jl5lx%2Fxs
時尚,http://171.223.199.12:8123/rtp/239.93.42.62:5140?
時尚,http://117.10.55.46:5000/rtp/225.1.2.172:5002?
時尚,http://59.42.181.86:8848/rtp/239.253.43.23:5146?
時尚,http://59.42.181.86:8848/rtp/239.253.43.8:5146?
生活时尚,http://nas.hssvm.com:8888/udp/225.1.1.143:5002
欢笑剧场,http://www.17888.fun:10000/udp/239.45.3.196:5140?
CCTV4K,http://27.222.3.214/liveali-tp4k.cctv.cn/live/4K10M.stream/1.m3u8
CCTV4K,http://27.222.3.214/liveali-tp4k.cctv.cn/live/4K10M.stream/playlist.m3u8
CCTV4K,https://tv.cry33.com:443/ys4k.php?id=4k
CCTV4K,https://tv.cry33.com/ys4k.php?id=4k
Chillayo,http://49.0.64.96:8007/Chillayo
Chillayo,http://49.0.64.96:8007/Chillayo
Chillayo,http://49.0.64.96:8007/Chillayo
Chillayo,http://49.0.64.96:8007/Chillayo
Classical,mitv://generationnexxxt.com:19806/133be9054bcd4fa68d2e34205004a51a
Classical,P2p://generationnexxxt.com:19806/133be9054bcd4fa68d2e34205004a51a
Mezzo,mitv://generationnexxxt.com:19806/1c1e90cd01934a5f917ec4fad5c97665
Mezzo,P2p://generationnexxxt.com:19806/1c1e90cd01934a5f917ec4fad5c97665
Mezzo,mitv://generationnexxxt.com:19806/1c1e90cd01934a5f917ec4fad5c97665
Mezzo,P2p://generationnexxxt.com:19806/1c1e90cd01934a5f917ec4fad5c97665
南京娱乐,http://live.nbs.cn/channels/njtv/ylpd/500k.m3u8
南京娱乐,http://live.nbs.cn/channels/njtv/ylpd/m3u8:500k/live.m3u8
南京娱乐,http://live.nbs.cn/channels/njtv/ylpd/500k.m3u8
南京娱乐,http://live.nbs.cn/channels/njtv/ylpd/m3u8:500k/live.m3u8
南京娱乐,http://live.nbs.cn/channels/njtv/ylpd/500k.m3u8
南京娱乐,http://live.nbs.cn/channels/njtv/ylpd/500k.m3u8?zjiangsd
北京生活,http://103.48.233.245:9901/rtp/239.3.1.117:8000
北京生活,http://115.171.216.22:4000/udp/225.1.8.127:8002
文旅生活,http://m3u8file.lstv.org.cn/nmip-media/channellive/channel12/playlist.m3u8
南京生活,http://live.nbs.cn/channels/njtv/shpd/nbs06.m3u8
南京新闻,http://live.nbs.cn/channels/njtv/xwzh/nbs06.m3u8
南京信息,http://live.nbs.cn/channels/njtv/xxpd/500k.m3u8
